,subject,predicate,object,from,until,object_has_years,subject_has_years,not_imputable_until
3707,Toni Mannix,is married to,Eddie Mannix,1951,1963,False,False,False
3708,Josefina Villalobos,is married to,Sixto Durán Ballén,1945,2016,False,False,False
3709,Cassandra Harris,is married to,Pierce Brosnan,1980,1991,False,False,False
3710,Barbara Fiske Calhoun,is married to,Irving Fiske,1946,1976,False,False,False
3711,Gill Dennis,is married to,Elizabeth Hartman,1968,1984,False,False,False
3712,Inger McCabe Elliott,is married to,Osborn Elliott,1973,2008,False,False,False
3713,Robert Culp,is married to,France Nuyen,1967,1970,False,False,False
3714,Paul Wesley,is married to,Torrey DeVitto,2011,2013,False,False,False
3715,Alicia Alonso,is married to,Fernando Alonso (dancer),1937,1975,False,False,False
3716,Mariah Carey,is married to,Tommy Mottola,1993,1998,False,False,False
3717,Sinn Bodhi,is married to,Stacy Carter,2010,2013,False,False,False
3718,Esperanza Baur,is married to,John Wayne,1946,1954,False,False,False
3719,Josephine Wayne,is married to,John Wayne,1933,1945,False,False,False
3720,Allan Wu,is married to,Wong Li-Lin,2003,2013,False,False,False
3721,Kathleen Kinmont,is married to,Lorenzo Lamas,1989,1993,False,False,False
3722,Mykelti Williamson,is married to,Olivia Brown,1983,1985,False,False,False
3723,C. S. Lewis,is married to,Joy Davidman,1956,1960,False,False,False
3724,William Lindsay Gresham,is married to,Joy Davidman,1942,1954,False,False,False
3725,Margot Stevenson,is married to,Val Avery,1953,2009,False,False,False
3726,Firoza Begum (singer),is married to,Kamal Dasgupta,1955,1974,False,False,False
3727,Florence Lawrence,is married to,Harry Solter,1908,1920,False,False,False
3728,Micheline Cheirel,is married to,John Loder (actor),1936,1941,False,False,False
3729,Alexandre Nero,is married to,Fabíula Nascimento,2001,2011,False,False,False
3730,Birkan Sokullu,is married to,Aslı Enver,2012,2015,False,False,False
3731,Ryan O'Neal,is married to,Joanna Moore,1963,1967,False,False,False
3732,Mayumi Ogawa,is married to,Toshiyuki Hosokawa,1967,1973,False,False,False
3733,Ann Druyan,is married to,Carl Sagan,1981,1996,False,False,False
3734,Gregg Allman,is married to,Cher,1975,1979,False,False,False
3735,Sonny Bono,is married to,Cher,1964,1975,False,False,False
3736,Hicri Fişek,is married to,Şadan Fişek,1922,2002,False,False,False
3737,Magda Goebbels,is married to,Joseph Goebbels,1931,1945,False,False,False
3738,José Alberto Castro,is married to,Angélica Rivera,2004,2008,False,False,False
3739,Owen Hart,is married to,Martha Hart,1989,1999,False,False,False
3740,Cristina Ferrare,is married to,John DeLorean,1973,1985,False,False,False
3741,Michael Kanin,is married to,Fay Kanin,1940,1993,False,False,False
3742,Jennifer Aniston,is married to,Brad Pitt,2000,2005,False,False,False
3743,Fariborz Arabnia,is married to,Ateneh Faghih Nasiri,1991,1999,False,False,False
3744,Jack Dodson,is married to,Mary Dodson,1959,1994,False,False,False
3745,Dragan Nikolić,is married to,Milena Dravić,1972,2016,False,False,False
3746,Meshach Taylor,is married to,Bianca Ferguson,1983,2014,False,False,False
3747,Susan Skipper,is married to,Anthony Valentine,1982,2015,False,False,False
3748,Willard Parker,is married to,Virginia Field,1951,1992,False,False,False
3749,Anne Nagel,is married to,Ross Alexander,1936,1937,False,False,False
3750,Aleta Freel,is married to,Ross Alexander,1934,1935,False,False,False
3751,Jeffrey Byron,is married to,Gail O'Grady,1990,1991,False,False,False
3752,Brad Pitt,is married to,Jennifer Aniston,2000,2005,False,False,False
3753,William Spier,is married to,June Havoc,1948,1973,False,False,False
3754,William Spier,is married to,Kay Thompson,1942,1947,False,False,False
3755,Ateneh Faghih Nasiri,is married to,Fariborz Arabnia,1991,1999,False,False,False
3756,Kathleen Widdoes,is married to,Richard Jordan,1964,1972,False,False,False
3757,Debra Marshall,is married to,Stone Cold Steve Austin,2000,2003,False,False,False
3758,Lady Blossom,is married to,Stone Cold Steve Austin,1993,1999,False,False,False
3759,Debra Marshall,is married to,Steve McMichael,1985,1998,False,False,False
3760,James Flavin,is married to,Lucile Browne,1932,1976,False,False,False
3761,Michael Weatherly,is married to,Amelia Heinle,1995,1997,False,False,False
3762,Rudy Giuliani,is married to,Donna Hanover,1984,2002,False,False,False
3763,Political positions of Rudy Giuliani,is married to,Donna Hanover,1984,2002,False,False,False
3764,Rudy Giuliani,is married to,Regina Peruggi,1968,1982,False,False,False
3765,Political positions of Rudy Giuliani,is married to,Regina Peruggi,1968,1982,False,False,False
3766,H. P. Lovecraft,is married to,Sonia Greene,1924,1937,False,False,False
3767,Katie Ford (CEO),is married to,André Balazs,1985,2004,False,False,False
3768,Judi Chamberlin,is married to,Ted Chabasinski,1972,1985,False,False,False
3769,Gena Rowlands,is married to,John Cassavetes,1954,1989,False,False,False
3770,Lynn Merrick,is married to,Conrad Nagel,1945,1948,False,False,False
3771,Hilary Duff,is married to,Mike Comrie,2010,2016,False,False,False
3772,Madhubala,is married to,Kishore Kumar,1960,1969,False,False,False
3773,Barbara Rush,is married to,Jeffrey Hunter,1950,1955,False,False,False
3774,Emily McLaughlin,is married to,Jeffrey Hunter,1969,1969,False,False,False
3775,Erin McGathy,is married to,Dan Harmon,2014,2015,False,False,False
3776,Candy Spelling,is married to,Aaron Spelling,1968,2006,False,False,False
3777,Carolyn Jones,is married to,Aaron Spelling,1953,1964,False,False,False
3778,Kim McLagan,is married to,Keith Moon,1966,1975,False,False,False
3779,Nancy Jo Sales,is married to,Frank Morales,2004,2006,False,False,False
3780,Kirsten Storms,is married to,Brandon Barash,2013,2016,False,False,False
3781,Austin Chick,is married to,Morena Baccarin,2011,2016,False,False,False
3782,Susan Douglas Rubes,is married to,Jan Rubeš,1950,2009,False,False,False
3783,Jean Stewart,is married to,Lincoln Hurring,1957,1993,False,False,False
3784,Ross Alexander,is married to,Aleta Freel,1934,1935,False,False,False
3785,Ross Alexander,is married to,Anne Nagel,1936,1937,False,False,False
3786,Candy Clark,is married to,Marjoe Gortner,1978,1979,False,False,False
3787,Louise Homer,is married to,Sidney Homer,1895,1947,False,False,False
3788,Shekhar Kapur,is married to,Suchitra Krishnamoorthi,1999,2007,False,False,False
3789,Irene Tsu,is married to,Ivan Nagy (director),1971,1980,False,False,False
3790,Guthrie McClintic,is married to,Katharine Cornell,1921,1961,False,False,False
3791,Les Crane,is married to,Tina Louise,1966,1971,False,False,False
3792,Asif Ali Zardari,is married to,Benazir Bhutto,1987,2007,False,False,False
3793,William R. Moses,is married to,Tracy Nelson (actress),1987,1997,False,False,False
3794,Ted Chabasinski,is married to,Judi Chamberlin,1972,1985,False,False,False
3795,Peter Murray-Hill,is married to,Phyllis Calvert,1941,1957,False,False,False
3796,Mary Tyler Moore,is married to,Grant Tinker,1955,1961,False,False,False
3797,Gabriel Byrne,is married to,Ellen Barkin,1988,1999,False,False,False
3798,Ronald Perelman,is married to,Ellen Barkin,2000,2006,False,False,False
3799,Bess Truman,is married to,Harry S. Truman,1919,1972,False,False,False
3800,Penny Nichols,is married to,Harry Shearer,1974,1977,False,False,False
3801,David Gest,is married to,Liza Minnelli,2002,2007,False,False,False
3802,Mamie Gummer,is married to,Benjamin Walker (actor),2011,2013,False,False,False
3803,Gustaf Gründgens,is married to,Erika Mann,1926,1929,False,False,False
3804,John Towey,is married to,Henrietta Valor,1982,2007,False,False,False
3805,Lasse Kolstad,is married to,Bab Christensen,1957,2012,False,False,False
3806,Billy Jack Haynes,is married to,Lady Blossom,1986,1989,False,False,False
3807,Kjell Grede,is married to,Bibi Andersson,1960,1973,False,False,False
3808,Cedric Gibbons,is married to,Hazel Brooks,1944,1960,False,False,False
3809,Edythe Chapman,is married to,James Neill,1897,1931,False,False,False
3810,"Francis Douglas, 11th Marquess of Queensberry",is married to,Cathleen Mann,1926,1946,False,False,False
3811,Harriet Nelson,is married to,Ozzie Nelson,1935,1975,False,False,False
3812,John Payne (actor),is married to,Gloria DeHaven,1944,1950,False,False,False
3813,John Payne (actor),is married to,Anne Shirley (actress),1937,1943,False,False,False
3814,Sufia Ahmed,is married to,Syed Ishtiaq Ahmed,1955,2003,False,False,False
3815,Peter Facinelli,is married to,Jennie Garth,2001,2013,False,False,False
3816,Lee Guber,is married to,Barbara Walters,1963,1976,False,False,False
3817,Merv Adelson,is married to,Barbara Walters,1981,1984,False,False,False
3818,Suchitra Krishnamoorthi,is married to,Shekhar Kapur,1999,2007,False,False,False
3819,Dolores Hope,is married to,Bob Hope,1934,2003,False,False,False
3820,Lauren Shuler Donner,is married to,Mark Rosenberg,1980,1984,False,False,False
3821,Mary Dodson,is married to,Jack Dodson,1959,1994,False,False,False
3822,Maria Rohm,is married to,Harry Alan Towers,1964,2009,False,False,False
3823,Dickie Moore (actor),is married to,Jane Powell,1988,2015,False,False,False
3824,Bill Woodson,is married to,Darlene Conley,1959,1966,False,False,False
3825,Beatrice Colen,is married to,Patrick Cronin (actor),1977,1999,False,False,False
3826,Görel Crona,is married to,Rafael Edholm,1997,2006,False,False,False
3827,Geoffrey Edelsten,is married to,Brynne Edelsten,1984,1988,False,False,False
3828,Harry Fowler,is married to,Joan Dowling,1951,1954,False,False,False
3829,Dan Harmon,is married to,Erin McGathy,2014,2015,False,False,False
3830,Ginger Rogers,is married to,Lew Ayres,1929,1931,False,False,False
3831,Ginger Rogers,is married to,William Marshall (bandleader),1953,1957,False,False,False
3832,Cauã Reymond,is married to,Grazi Massafera,2007,2013,False,False,False
3833,Alexander Kirkland,is married to,Gypsy Rose Lee,1942,1944,False,False,False
3834,Dina Bonnevie,is married to,Vic Sotto,1988,1992,False,False,False
3835,Janice de Belen,is married to,John Estrada,1992,2004,False,False,False
3836,Wes Farrell,is married to,Tina Sinatra,1974,1976,False,False,False
3837,Ed Rendell,is married to,Marjorie Rendell,1971,2011,False,False,False
3838,Elizabeth Daily,is married to,Rick Salomon,1995,2000,False,False,False
3839,Kirstie Alley,is married to,Parker Stevenson,1983,1997,False,False,False
3840,Nina Wang,is married to,Teddy Wang,1955,1990,False,False,False
3841,Lucie Aubrac,is married to,Raymond Aubrac,1939,2007,False,False,False
3842,Nicole Kidman,is married to,Tom Cruise,1990,2001,False,False,False
3843,Katie Holmes,is married to,Tom Cruise,2006,2012,False,False,False
3844,Christian Slater,is married to,Ryan Haddon,2000,2007,False,False,False
3845,Don McKellar,is married to,Tracy Wright,2010,2010,False,False,False
3846,Larry Ellison,is married to,Melanie Craft,1967,1974,False,False,False
3847,Tony Young (actor),is married to,Madlyn Rhue,1962,1970,False,False,False
3848,Gordon Gostelow,is married to,Vivian Pickles,1964,2007,False,False,False
3849,Don Mitchell (actor),is married to,Judy Pace,1972,1986,False,False,False
3850,Linda Stirling,is married to,Sloan Nibley,1946,1990,False,False,False
3851,Michele Lee,is married to,James Farentino,1966,1983,False,False,False
3852,Debrah Farentino,is married to,James Farentino,1985,1988,False,False,False
3853,Caro Dawes,is married to,Charles G. Dawes,1889,1951,False,False,False
3854,William Moore (actor),is married to,Mollie Sugden,1958,2000,False,False,False
3855,Margarethe von Trotta,is married to,Volker Schlöndorff,1971,1991,False,False,False
3856,Lorraine Bracco,is married to,Edward James Olmos,1994,2002,False,False,False
3857,Prince Alfonso of Hohenlohe-Langenburg,is married to,Jocelyn Lane,1973,1985,False,False,False
3858,Prince Alfonso of Hohenlohe-Langenburg,is married to,Ira von Fürstenberg,1955,1960,False,False,False
3859,Dolores Dorn,is married to,Franchot Tone,1956,1959,False,False,False
3860,Jean Wallace,is married to,Franchot Tone,1941,1948,False,False,False
3861,Barbara Payton,is married to,Franchot Tone,1951,1952,False,False,False
3862,Dolores Dorn,is married to,Ben Piazza,1967,1979,False,False,False
3863,Connie Sellecca,is married to,Gil Gerard,1979,1987,False,False,False
3864,Carey Lowell,is married to,Griffin Dunne,1989,1995,False,False,False
3865,Virginia Field,is married to,Willard Parker,1951,1992,False,False,False
3866,Virginia Field,is married to,Paul Douglas (actor),1942,1946,False,False,False
3867,Jan Sterling,is married to,Paul Douglas (actor),1950,1959,False,False,False
3868,James Mitchum,is married to,Wende Wagner,1967,1978,False,False,False
3869,Gary Dourdan,is married to,Roshumba Williams,1992,1994,False,False,False
3870,Nellie Connally,is married to,John Connally,1940,1993,False,False,False
3871,Jane Powell,is married to,Dickie Moore (actor),1988,2015,False,False,False
3872,Carlo Wieth,is married to,Clara Pontoppidan,1906,1917,False,False,False
3873,Jesús Franco,is married to,Lina Romay,2008,2012,False,False,False
3874,Claire King,is married to,Peter Amory,1994,2004,False,False,False
3875,Rosa Carmina,is married to,Juan Orol,1949,1954,False,False,False
3876,George Robotham,is married to,Karin Dor,1988,2007,False,False,False
3877,Anita Morris,is married to,Grover Dale,1973,1994,False,False,False
3878,Norman Corwin,is married to,Katherine Locke,1947,1995,False,False,False
3879,Maximilian Schell,is married to,Natalya Andrejchenko,1985,2005,False,False,False
3880,Georg Stanford Brown,is married to,Tyne Daly,1966,1990,False,False,False
3881,Rona Anderson,is married to,Gordon Jackson (actor),1951,1990,False,False,False
3882,William Keighley,is married to,Genevieve Tobin,1938,1984,False,False,False
3883,John Heard (actor),is married to,Margot Kidder,1979,1980,False,False,False
3884,Philippe de Broca,is married to,Margot Kidder,1983,1984,False,False,False
3885,Renée Asherson,is married to,Robert Donat,1953,1958,False,False,False
3886,Tony Denman,is married to,Sarah-Jane Potts,2002,2009,False,False,False
3887,Dona Drake,is married to,William Travilla,1944,1989,False,False,False
3888,Shashi Tharoor,is married to,Sunanda Pushkar,2010,2014,False,False,False
3889,Andrei Sakharov,is married to,Yelena Bonner,1972,1989,False,False,False
3890,Mike Comrie,is married to,Hilary Duff,2010,2016,False,False,False
3891,John DeLorean,is married to,Cristina Ferrare,1973,1985,False,False,False
3892,Joan D. Vinge,is married to,Vernor Vinge,1972,1979,False,False,False
3893,Barbara Walters,is married to,Lee Guber,1963,1976,False,False,False
3894,Barbara Walters,is married to,Merv Adelson,1981,1984,False,False,False
3895,Amy Van Nostrand,is married to,Tim Daly,1982,2010,False,False,False
3896,Ian Carnell,is married to,Kate Carnell,1977,1997,False,False,False
3897,Lee Grant,is married to,Arnold Manoff,1951,1960,False,False,False
3898,Patricia Richardson,is married to,Ray Baker (actor),1982,1995,False,False,False
3899,Alla Pugacheva,is married to,Alexander Stefanovich,1969,1973,False,False,False
3900,Lurleen Wallace,is married to,George Wallace,1943,1968,False,False,False
3901,Václav Havel,is married to,Olga Havlová,1964,1996,False,False,False
3902,Brandon Douglas,is married to,Julie Condra,1992,1995,False,False,False
3903,Harvey Pekar,is married to,Joyce Brabner,1984,2010,False,False,False
3904,Jennie Garth,is married to,Peter Facinelli,1994,1996,False,False,False
3905,Stephanie March,is married to,Bobby Flay,2005,2015,False,False,False
3906,Júlia Lemmertz,is married to,Alexandre Borges,1993,2015,False,False,False
3907,King Moody,is married to,Rachel Rosenthal,1960,1979,False,False,False
3908,Jane Engelhard,is married to,Fritz Mannheimer,1939,1939,False,False,False
3909,Fritz Kortner,is married to,Johanna Hofer,1924,1970,False,False,False
3910,Jeff Morrow,is married to,Anna Karen Morrow,1947,1993,False,False,False
3911,Annie Yi,is married to,Harlem Yu,2000,2009,False,False,False
3912,Calvin Gotlieb,is married to,Phyllis Gotlieb,1949,2009,False,False,False
3913,Käthe Dahlem,is married to,Franz Dahlem,1892,1981,False,False,False
3914,Goldie Hawn,is married to,Gus Trikonis,1969,1976,False,False,False
3915,Aaron Spelling,is married to,Candy Spelling,1968,2006,False,False,False
3916,Aaron Spelling,is married to,Carolyn Jones,1953,1964,False,False,False
3917,Marie Curie,is married to,Pierre Curie,1859,1906,False,False,False
3918,Deborah Walley,is married to,John Ashley (actor),1962,1966,False,False,False
3919,Ernie Kovacs,is married to,Edie Adams,1954,1962,False,False,False
3920,Joy Page,is married to,William T. Orr,1945,1970,False,False,False
3921,Roland Curram,is married to,Sheila Gish,1964,1985,False,False,False
3922,Robert C. Maynard,is married to,Nancy Hicks Maynard,1975,1993,False,False,False
3923,Vijaya Kumaranatunga,is married to,Chandrika Kumaratunga,1978,1988,False,False,False
3924,Ann Robinson,is married to,Jaime Bravo,1957,1967,False,False,False
3925,Roshumba Williams,is married to,Gary Dourdan,1992,1994,False,False,False
3926,Tony Adams (producer),is married to,Debrah Farentino,1992,1994,False,False,False
3927,Charles Shyer,is married to,Nancy Meyers,1980,1999,False,False,False
3928,Jutta Zilliacus,is married to,Benedict Zilliacus,1949,2013,False,False,False
3929,Stuart Lancaster (actor),is married to,Betty Warren (artist),1944,1947,False,False,False
3930,Wendy Hughes,is married to,Sean Scully (actor),1971,1973,False,False,False
3931,Gary Lineker,is married to,Danielle Lineker,2009,2016,False,False,False
3932,Ellen Barkin,is married to,Gabriel Byrne,1988,1999,False,False,False
3933,Patricia Duff,is married to,Ronald Perelman,1995,1996,False,False,False
3934,Claudia Cohen,is married to,Ronald Perelman,1985,1994,False,False,False
3935,Volker Schlöndorff,is married to,Margarethe von Trotta,1971,1991,False,False,False
3936,Lolo Soetoro,is married to,Ann Dunham,1965,1980,False,False,False
3937,Barack Obama Sr.,is married to,Ann Dunham,1961,1964,False,False,False
3938,Eddie Murphy,is married to,Nicole Mitchell Murphy,1993,2006,False,False,False
3939,Vernor Vinge,is married to,Joan D. Vinge,1972,1979,False,False,False
3940,Donna Hanover,is married to,Rudy Giuliani,1984,2002,False,False,False
3941,Regina Peruggi,is married to,Rudy Giuliani,1968,1982,False,False,False
3942,Martha Hart,is married to,Owen Hart,1989,1999,False,False,False
3943,John Calley,is married to,Olga Schoberová,1972,1992,False,False,False
3944,Chris Huhne,is married to,Vicky Pryce,1984,2011,False,False,False
3945,Grazi Massafera,is married to,Cauã Reymond,2007,2013,False,False,False
3946,Gertrude Olmstead,is married to,Robert Z. Leonard,1926,1968,False,False,False
3947,Mae Murray,is married to,Robert Z. Leonard,1918,1925,False,False,False
3948,John Cassavetes,is married to,Gena Rowlands,1954,1989,False,False,False
3949,Joe Weider,is married to,Betty Brosmer,1961,2013,False,False,False
3950,Richard Quine,is married to,Fran Jeffries,1965,1970,False,False,False
3951,Richard Quine,is married to,Susan Peters,1943,1948,False,False,False
3952,Grant Tinker,is married to,Mary Tyler Moore,1950,1962,False,False,False
3953,Martha Smith,is married to,Noel Blanc,1977,1986,False,False,False
3954,Leo Gorcey,is married to,Amelita Ward,1949,1956,False,False,False
3955,Stephen G. Davies,is married to,Kay Davies,1973,2000,False,False,False
3956,Peggy Stewart (actress),is married to,Don \u0022Red\u0022 Barry,1940,1944,False,False,False
3957,Alex Sink,is married to,Bill McBride (politician),1987,2012,False,False,False
3958,Resham Tipnis,is married to,Sanjeev Seth,1993,2004,False,False,False
3959,Barbara New,is married to,Michael Barrington,1956,1988,False,False,False
3960,Elżbieta Czyżewska,is married to,David Halberstam,1965,1977,False,False,False
3961,Norman Chandler,is married to,Dorothy Buffum Chandler,1922,1973,False,False,False
3962,Alexander Stefanovich,is married to,Alla Pugacheva,1968,1974,False,False,False
3963,Katharine Cornell,is married to,Guthrie McClintic,1921,1961,False,False,False
3964,Chico Buarque,is married to,Marieta Severo,1966,1999,False,False,False
3965,Wong Li-Lin,is married to,Allan Wu,2003,2013,False,False,False
3966,Timothy Hutton,is married to,Debra Winger,1986,1990,False,False,False
3967,Moss Hart,is married to,Kitty Carlisle,1946,1961,False,False,False
3968,Michael Crichton,is married to,Anne-Marie Martin,1987,2003,False,False,False
3969,Edgar L. McCoubrey,is married to,Anne T. Hill,1990,1999,False,False,False
3970,Roy W. Hill,is married to,Anne T. Hill,1971,1986,False,False,False
3971,Jeffrey Hunter,is married to,Emily McLaughlin,1969,1969,False,False,False
3972,Jeffrey Hunter,is married to,Barbara Rush,1950,1955,False,False,False
3973,Tommy Mottola,is married to,Mariah Carey,1993,1998,False,False,False
3974,Adolphe Menjou,is married to,Verree Teasdale,1934,1963,False,False,False
3975,Vivian Pickles,is married to,Gordon Gostelow,1964,2007,False,False,False
3976,Billie Mae Richards,is married to,Bill Richards (musician),1940,1995,False,False,False
3977,Lawrence P. Williams,is married to,Queenie Leonard,1936,1947,False,False,False
3978,Mark Rosenberg,is married to,Lauren Shuler Donner,1980,1984,False,False,False
3979,Inger Stevens,is married to,Ike Jones,1961,1970,False,False,False
3980,Yvette Williams,is married to,Buddy Corlett,1954,2015,False,False,False
3981,Edith Atwater,is married to,Kent Smith,1962,1985,False,False,False
3982,Marion Byron,is married to,Lou Breslow,1932,1985,False,False,False
3983,Helen Hunt,is married to,Hank Azaria,1999,2000,False,False,False
3984,Kate Carnell,is married to,Ian Carnell,1977,1997,False,False,False
3985,Verree Teasdale,is married to,Adolphe Menjou,1935,1963,False,False,False
3986,Lowell Sherman,is married to,Helene Costello,1930,1932,False,False,False
3987,Alexandre Borges,is married to,Júlia Lemmertz,1993,2015,False,False,False
3988,Raffaella Baracchi,is married to,Carmelo Bene,1992,2002,False,False,False
3989,Tamara Desni,is married to,Raymond Lovell,1947,1951,False,False,False
3990,Hugh Cruttwell,is married to,Geraldine McEwan,1953,2002,False,False,False
3991,Kimberly Guilfoyle,is married to,Eric Villency,2006,2009,False,False,False
3992,Kimberly Guilfoyle,is married to,Gavin Newsom,2001,2006,False,False,False
3993,Julie Benz,is married to,John Kassir,1998,2007,False,False,False
3994,Kevin Sullivan (wrestler),is married to,Nancy Benoit,1985,1997,False,False,False
3995,Zachary Scott,is married to,Ruth Ford (actress),1952,1965,False,False,False
3996,John Cleese,is married to,Connie Booth,1968,1978,False,False,False
3997,Judy Parfitt,is married to,Tony Steedman,1963,2001,False,False,False
3998,Michael Brandon,is married to,Lindsay Wagner,1976,1979,False,False,False
3999,Emma Thompson,is married to,Greg Wise,1989,1995,False,False,False
4000,Ricky Groves,is married to,Hannah Waterman,2006,2014,False,False,False
4001,Frank Howson,is married to,Terri Garber,2001,2002,False,False,False
4002,Hasse Ekman,is married to,Eva Henning,1946,1953,False,False,False
4003,Julie Cobb,is married to,James Cromwell,1978,1985,False,False,False
4004,Edward James Olmos,is married to,Lorraine Bracco,1994,2002,False,False,False
4005,Edmond O'Brien,is married to,Olga San Juan,1948,1976,False,False,False
4006,John Huggins,is married to,Ericka Huggins,1967,1969,False,False,False
4007,Alex Young (studio executive),is married to,Kate Walsh (actress),2007,2010,False,False,False
4008,Katharine Ross,is married to,Conrad Hall,1969,1974,False,False,False
4009,Madge Evans,is married to,Sidney Kingsley,1939,1981,False,False,False
4010,Norman Maurer,is married to,Joan Howard Maurer,1947,1986,False,False,False
4011,Steven Spielberg,is married to,Amy Irving,1985,1989,False,False,False
4012,May Wynn,is married to,Jack Kelly (actor),1956,1964,False,False,False
4013,Clarence Williams III,is married to,Gloria Foster,1967,1984,False,False,False
4014,Noa Tishby,is married to,Osher Günsberg,2008,2011,False,False,False
4015,Natasha Henstridge,is married to,Damian Chapa,1995,1996,False,False,False
4016,Irene Hervey,is married to,Allan Jones (actor),1936,1957,False,False,False
4017,Fernando Alonso (dancer),is married to,Alicia Alonso,1937,1975,False,False,False
4018,Jean Wallace,is married to,Cornel Wilde,1951,1981,False,False,False
4019,Anna Karen,is married to,Terry Duggan,1967,2008,False,False,False
4020,Sussanne Khan,is married to,Hrithik Roshan,2000,2014,False,False,False
4021,Helene Thimig,is married to,Max Reinhardt,1935,1943,False,False,False
4022,Rupert Sanders,is married to,Liberty Ross,2002,2014,False,False,False
4023,Joan Rivers,is married to,Edgar Rosenberg,1965,1987,False,False,False
4024,Ivan Tors,is married to,Constance Dowling,1955,1969,False,False,False
4025,David Shipley,is married to,Naomi Wolf,1993,2005,False,False,False
4026,Jennifer Esposito,is married to,Bradley Cooper,2006,2007,False,False,False
4027,Elliot Handler,is married to,Ruth Handler,1938,2002,False,False,False
4028,Frank Morales,is married to,Nancy Jo Sales,2004,2006,False,False,False
4029,Ben Lyon,is married to,Bebe Daniels,1930,1971,False,False,False
4030,Phillips Smalley,is married to,Lois Weber,1904,1922,False,False,False
4031,Bill Travers,is married to,Virginia McKenna,1957,1994,False,False,False
4032,Lola Van Wagenen,is married to,Robert Redford,1958,1985,False,False,False
4033,Ann Lynn,is married to,Anthony Newley,1956,1963,False,False,False
4034,Joseph Frank (writer),is married to,Marguerite Frank,1953,2013,False,False,False
4035,Chad Lowe,is married to,Hilary Swank,1997,2007,False,False,False
4036,Mary Ann Mobley,is married to,Gary Collins (actor),1967,2012,False,False,False
4037,Kirsty Hume,is married to,Donovan Leitch (actor),1997,2014,False,False,False
4038,Charles de Gaulle,is married to,Yvonne de Gaulle,1921,1970,False,False,False
4039,Richard Ravitch,is married to,Diane Ravitch,1960,1986,False,False,False
4040,Lea Grundig,is married to,Hans Grundig,1901,1958,False,False,False
4041,Elaine Makatura Bass,is married to,Saul Bass,1961,1996,False,False,False
4042,Ann Dunham,is married to,Lolo Soetoro,1965,1980,False,False,False
4043,Ann Dunham,is married to,Barack Obama Sr.,1961,1964,False,False,False
4044,Helen Worth,is married to,Michael Angelis,1991,2001,False,False,False
4045,Ken Russell,is married to,Hetty Baynes,1992,1999,False,False,False
4046,Ken Russell,is married to,Shirley Ann Russell,1956,1978,False,False,False
4047,Tracy Reed (English actress),is married to,Neil Hallett,1970,1973,False,False,False
4048,Sidney Luft,is married to,Judy Garland,1952,1965,False,False,False
4049,Sidney Luft,is married to,Lynn Bari,1943,1950,False,False,False
4050,Myron Selznick,is married to,Marjorie Daw (actress),1925,1942,False,False,False
4051,John Cromwell (director),is married to,Ruth Nelson (actress),1946,1979,False,False,False
4052,John Cromwell (director),is married to,Kay Johnson,1928,1946,False,False,False
4053,Talia Shire,is married to,David Shire,1970,1980,False,False,False
4054,Nadja Tiller,is married to,Walter Giller,1956,2011,False,False,False
4055,Sonny Bono,is married to,Mary Bono,1986,1998,False,False,False
4056,Nikki Finke,is married to,Jeffrey W. Greenberg,1980,1982,False,False,False
4057,Siobhán McKenna,is married to,Denis O'Dea,1946,1978,False,False,False
4058,Bonita Granville,is married to,Jack Wrather,1947,1984,False,False,False
4059,Lily Safra,is married to,Edmond Safra,1976,1999,False,False,False
4060,Florence Gilbert,is married to,Ashton Dearholt,1926,1934,False,False,False
4061,Helen Herron Taft,is married to,William Howard Taft,1886,1930,False,False,False
4062,Kris Jenner,is married to,Caitlyn Jenner,1991,2015,False,False,False
4063,Linda Thompson (actress),is married to,Caitlyn Jenner,1981,1985,False,False,False
4064,Charles G. Dawes,is married to,Caro Dawes,1889,1951,False,False,False
4065,Otto Frank,is married to,Edith Frank,1925,1945,False,False,False
4066,Otto Frank,is married to,Elfriede Geiringer,1953,1980,False,False,False
4067,Candice Yu,is married to,Henry Lee Junior,1987,2003,False,False,False
4068,Jeremy Young,is married to,Kate O'Mara,1961,1976,False,False,False
4069,Gloria Foster,is married to,Clarence Williams III,1967,1984,False,False,False
4070,Norman Cook,is married to,Zoë Ball,1999,2016,False,False,False
4071,Tony Curtis,is married to,Christine Kaufmann,1963,1968,False,False,False
4072,Hans Grundig,is married to,Lea Grundig,1906,1977,False,False,False
4073,Hazel R. O'Leary,is married to,John F. O'Leary,1980,1987,False,False,False
4074,Charlotte Bühler,is married to,Karl Bühler,1916,1963,False,False,False
4075,Daniel de Oliveira (actor),is married to,Vanessa Giácomo,2004,2012,False,False,False
4076,Jeffrey Stone,is married to,Corinne Calvet,1955,1960,False,False,False
4077,Adam Curry,is married to,Micky Hoogendijk,2012,2015,False,False,False
4078,Tom Cruise,is married to,Katie Holmes,1990,2001,False,False,False
4079,Tom Cruise,is married to,Nicole Kidman,1987,1990,False,False,False
4080,Nina Wayne,is married to,John Drew Barrymore,1985,1994,False,False,False
4081,Cara Williams,is married to,John Drew Barrymore,1952,1959,False,False,False
4082,Joanne Dorian,is married to,Michael Zaslow,1965,1972,False,False,False
4083,Virginia McKenna,is married to,Bill Travers,1957,1994,False,False,False
4084,Karen Young (actress),is married to,Tom Noonan,1992,1999,False,False,False
